fecha,moneda,tasa_compra,tasa_venta
1/1/2004,EUR,54.37428725,55.53423626
2/1/2004,EUR,58.17595966,59.54196913
3/1/2004,EUR,54.07345965,54.51181306
4/1/2004,EUR,49.73691462,50.80817967
5/1/2004,EUR,53.73465507,53.84339466
6/1/2004,EUR,54.88995818,55.81844082
7/1/2004,EUR,51.88836467,52.51109742
8/1/2004,EUR,46.79818258,47.95896538
9/1/2004,EUR,42.00488132,43.11620624
10/1/2004,EUR,38.26444111,38.49361034
11/1/2004,EUR,36.23676808,36.69367883
12/1/2004,EUR,36.86249828,36.97963486
1/1/2005,EUR,36.84783725,37.46407778
2/1/2005,EUR,35.26257221,35.86611
3/1/2005,EUR,35.64302287,35.69747619
4/1/2005,EUR,34.61102597,34.9203381
5/1/2005,EUR,34.13278827,34.81382
6/1/2005,EUR,31.96630337,33.58652273
7/1/2005,EUR,31.73166762,33.2990381
8/1/2005,EUR,32.40478015,34.05871364
9/1/2005,EUR,34.02927246,35.62531818
10/1/2005,EUR,35.91639378,37.23185714
11/1/2005,EUR,35.58485093,37.49501818
12/1/2005,EUR,37.06727093,38.33985
1/1/2006,EUR,39.86605015,40.839655
2/1/2006,EUR,37.96704137,39.83365263
3/1/2006,EUR,36.86538936,38.19857391
4/1/2006,EUR,37.10382805,38.42937895
5/1/2006,EUR,39.33213793,40.51030952
6/1/2006,EUR,40.06840941,40.46942381
7/1/2006,EUR,39.94133726,40.54261905
8/1/2006,EUR,40.22376506,40.8187
9/1/2006,EUR,39.77273236,40.92797619
10/1/2006,EUR,39.33904797,41.21323182
11/1/2006,EUR,42.0361618,42.17810476
12/1/2006,EUR,40.80713934,42.657865
1/1/2007,EUR,41.17980823,42.76971429
2/1/2007,EUR,42.16485773,42.53264737
3/1/2007,EUR,41.46547862,42.37927273
4/1/2007,EUR,40.81588176,42.47903158
5/1/2007,EUR,41.76620033,42.38895652
6/1/2007,EUR,40.46337673,42.446795
7/1/2007,EUR,44.07854218,44.1548
8/1/2007,EUR,43.30052859,43.77129545
9/1/2007,EUR,43.97577649,45.14231579
10/1/2007,EUR,44.55145031,46.45331304
11/1/2007,EUR,47.23942212,47.89671429
12/1/2007,EUR,47.31022177,47.552925
1/1/2008,EUR,46.73425469,48.52732381
2/1/2008,EUR,47.2296095,48.65643
3/1/2008,EUR,49.65610927,51.42472
4/1/2008,EUR,51.10161452,52.32091818
5/1/2008,EUR,50.88408051,51.63973158
6/1/2008,EUR,50.27031172,51.84640952
7/1/2008,EUR,52.23968922,52.79028261
8/1/2008,EUR,48.97460931,50.67266667
9/1/2008,EUR,48.38867469,48.80180952
10/1/2008,EUR,45.50001523,45.63876957
11/1/2008,EUR,41.96986518,43.77346842
12/1/2008,EUR,44.60886345,46.41550909
1/1/2009,EUR,45.27654655,45.90188333
2/1/2009,EUR,44.25163143,44.44634737
3/1/2009,EUR,43.59890647,45.40269545
4/1/2009,EUR,44.64685191,46.14603333
5/1/2009,EUR,47.19106572,47.87917
6/1/2009,EUR,47.80873671,49.1504
7/1/2009,EUR,48.90439787,49.46326087
8/1/2009,EUR,49.84196576,50.16559524
9/1/2009,EUR,50.16889915,51.16547619
10/1/2009,EUR,50.47933404,52.19947727
11/1/2009,EUR,51.97917932,52.518085
12/1/2009,EUR,51.36367893,51.58745
1/1/2010,EUR,50.13640549,50.36962353
2/1/2010,EUR,46.42736173,48.332685
3/1/2010,EUR,47.80268854,48.09473913
4/1/2010,EUR,46.47678315,47.68044762
5/1/2010,EUR,44.41284811,45.03621905
6/1/2010,EUR,42.99065741,43.7665
7/1/2010,EUR,44.62288981,45.82549091
8/1/2010,EUR,46.04100075,46.456
9/1/2010,EUR,45.46662022,47.12507619
10/1/2010,EUR,48.87066951,50.52825238
11/1/2010,EUR,48.71914848,49.84527273
12/1/2010,EUR,48.28447135,48.30423043
1/1/2011,EUR,48.40080583,49.05225556
2/1/2011,EUR,49.09502842,50.323145
3/1/2011,EUR,50.55684003,51.855
4/1/2011,EUR,54.25953188,54.701035
5/1/2011,EUR,53.58378585,54.27848095
6/1/2011,EUR,53.85765122,54.75777619
7/1/2011,EUR,52.54981276,54.26554286
8/1/2011,EUR,54.02674966,54.59037273
9/1/2011,EUR,50.82265032,52.54781364
10/1/2011,EUR,51.40811699,52.46884286
11/1/2011,EUR,52.05308892,52.13984545
12/1/2011,EUR,49.05432498,50.77977727
1/1/2012,EUR,48.87556058,50.161265
2/1/2012,EUR,50.59204278,51.44537
3/1/2012,EUR,49.87932713,51.47645909
4/1/2012,EUR,50.6708314,51.35858889
5/1/2012,EUR,48.5331369,49.97624783
6/1/2012,EUR,47.31042283,48.921
7/1/2012,EUR,46.67835261,48.02674091
8/1/2012,EUR,47.36997079,48.52687273
9/1/2012,EUR,49.74268674,50.39727368
10/1/2012,EUR,49.97876925,51.17278261
11/1/2012,EUR,50.28383189,51.2013727
12/1/2012,EUR,52.22591794,52.71542
1/1/2013,EUR,52.40065129,53.87976667
2/1/2013,EUR,53.52575927,54.49637895
3/1/2013,EUR,52.10897292,53.17335789
4/1/2013,EUR,51.61613168,53.40791905
5/1/2013,EUR,53.33021539,53.3733
6/1/2013,EUR,53.01319891,54.7373
7/1/2013,EUR,54.39817847,54.8603
8/1/2013,EUR,54.81227591,56.3898
9/1/2013,EUR,56.09374442,56.8581
10/1/2013,EUR,57.45110446,57.8514
11/1/2013,EUR,55.54502055,57.2872
12/1/2013,EUR,56.73165859,58.3859
1/1/2014,EUR,56.61690279,58.3621
2/1/2014,EUR,58.20180813,58.8472
3/1/2014,EUR,58.55553575,59.5964
4/1/2014,EUR,58.75406417,59.5425
5/1/2014,EUR,57.28704262,59.2804381
6/1/2014,EUR,57.18965537,58.9337
7/1/2014,EUR,58.33672521,58.8656
8/1/2014,EUR,57.63781814,57.9155
9/1/2014,EUR,55.05927446,56.3463
10/1/2014,EUR,53.84004779,55.5037
11/1/2014,EUR,53.3727734,54.9011
12/1/2014,EUR,53.89876546,54.4146
1/1/2015,EUR,51.09112859,51.73196111
2/1/2015,EUR,49.58858736,50.8078
3/1/2015,EUR,48.14485357,48.398
4/1/2015,EUR,47.59255013,48.19056667
5/1/2015,EUR,49.53047223,49.9616
6/1/2015,EUR,48.72780952,50.2273
7/1/2015,EUR,47.61492315,49.4068
8/1/2015,EUR,48.1707281,50.1447
9/1/2015,EUR,49.44190441,50.60713333
10/1/2015,EUR,50.61120349,50.8573
11/1/2015,EUR,47.76721658,48.6521
12/1/2015,EUR,48.00992642,49.37761364
1/1/2016,EUR,48.10061023,49.43767059
2/1/2016,EUR,50.16851941,50.69597143
3/1/2016,EUR,49.42761541,50.7464
4/1/2016,EUR,49.95417833,51.90414762
5/1/2016,EUR,50.50831819,51.81537
6/1/2016,EUR,50.59291818,51.50153182
7/1/2016,EUR,49.71639287,50.83213333
8/1/2016,EUR,50.62938917,51.49362727
9/1/2016,EUR,50.53706566,51.66579091
10/1/2016,EUR,49.1963734,51.09492857
11/1/2016,EUR,48.7932102,50.21693636
12/1/2016,EUR,47.19091361,49.09415909
1/1/2017,EUR,49.22077285,49.617165
2/1/2017,EUR,49.04979588,50.06547368
3/1/2017,EUR,50.29932459,50.44771304
4/1/2017,EUR,50.53540411,50.6955
5/1/2017,EUR,51.58438572,52.33892727
6/1/2017,EUR,52.00267734,53.25455714
7/1/2017,EUR,53.2315826,54.6129
8/1/2017,EUR,56.05632874,56.07562727
9/1/2017,EUR,56.48686342,56.7311
10/1/2017,EUR,55.1747812,56.1245
11/1/2017,EUR,55.00363313,56.1794
12/1/2017,EUR,55.19567656,56.955065
1/1/2018,EUR,57.63603321,58.8935
2/1/2018,EUR,59.33332459,60.2136
3/1/2018,EUR,60.02357539,60.5829
4/1/2018,EUR,59.09474897,60.5834
5/1/2018,EUR,58.26681709,58.3368
6/1/2018,EUR,55.95578611,57.5979
7/1/2018,EUR,56.46376364,57.8373
8/1/2018,EUR,55.54358883,57.3792
9/1/2018,EUR,56.1403865,57.9828
10/1/2018,EUR,56.47660203,57.3061
11/1/2018,EUR,55.67751587,56.9223
12/1/2018,EUR,56.40670878,57.071
1/1/2019,EUR,56.43446166,57.4261
2/1/2019,EUR,55.80646309,57.1793
3/1/2019,EUR,56.30553051,57.0074
4/1/2019,EUR,55.58110839,56.7402
5/1/2019,EUR,55.07456447,56.4493
6/1/2019,EUR,56.4370879,57.1564
7/1/2019,EUR,56.42885451,57.0058
8/1/2019,EUR,55.65115384,56.8212
9/1/2019,EUR,54.88592437,56.7234
10/1/2019,EUR,56.64275596,58.1612
11/1/2019,EUR,58.23593535,58.2893
12/1/2019,EUR,57.89688307,58.7036
1/1/2020,EUR,57.32607596,58.8553
2/1/2020,EUR,56.37937612,58.0983
3/1/2020,EUR,58.18177097,59.3621
4/1/2020,EUR,57.48819751,58.7937
5/1/2020,EUR,58.45279426,60.3131
6/1/2020,EUR,63.51363844,65.0904
7/1/2020,EUR,64.86103655,66.8034
8/1/2020,EUR,67.10335134,69.0259
9/1/2020,EUR,67.26195217,68.8314
10/1/2020,EUR,68.22985488,68.6813
11/1/2020,EUR,67.7379004,68.9763
12/1/2020,EUR,69.79861803,70.6705
1/1/2021,EUR,70.4956884,70.6513
2/1/2021,EUR,68.48351988,69.9672
3/1/2021,EUR,67.10520629,68.038
4/1/2021,EUR,67.39693484,68.0576
5/1/2021,EUR,67.11058904,68.9933
6/1/2021,EUR,68.11785906,68.4842
7/1/2021,EUR,66.65983479,67.3605
8/1/2021,EUR,66.94480713,67.0169
9/1/2021,EUR,65.5497747,66.5231
10/1/2021,EUR,65.12831642,65.2807
11/1/2021,EUR,62.54570677,64.4279
12/1/2021,EUR,64.13579767,64.2429
1/1/2022,EUR,64.27257535,65.0921
2/1/2022,EUR,62.53094113,63.9847
3/1/2022,EUR,59.94365609,60.4254
4/1/2022,EUR,58.209431,59.4411
5/1/2022,EUR,57.33740831,58.2477
6/1/2022,EUR,57.0643555,57.8668
7/1/2022,EUR,53.99378554,55.4373
8/1/2022,EUR,53.43084027,54.2618
9/1/2022,EUR,51.17006214,52.6518
10/1/2022,EUR,52.1757617,52.7846
11/1/2022,EUR,54.98049631,55.1075
12/1/2022,EUR,57.66306608,58.497
1/1/2023,EUR,60.57088523,60.7309
2/1/2023,EUR,59.43346106,59.8745
3/1/2023,EUR,56.79905954,58.6358
4/1/2023,EUR,59.39317566,59.798
5/1/2023,EUR,57.83545511,59.1031
6/1/2023,EUR,57.63478175,59.414
7/1/2023,EUR,61.05036435,61.6284
8/1/2023,EUR,60.57963178,61.6533
9/1/2023,EUR,60.2401402,60.5052
10/1/2023,EUR,59.64263405,59.8799
11/1/2023,EUR,60.04179937,61.29875
12/1/2023,EUR,62.01820933,62.4237
1/1/2024,EUR,62.51736925,63.8644
2/1/2024,EUR,62.6643264,63.1424
3/1/2024,EUR,62.72355734,64.0317
4/1/2024,EUR,61.65860654,63.0963
5/1/2024,EUR,61.31954251,63.0998
6/1/2024,EUR,61.92352599,63.4548
7/1/2024,EUR,62.19012605,63.9318
8/1/2024,EUR,64.74461448,65.4849
9/1/2024,EUR,65.73209917,66.4229
10/1/2024,EUR,65.20225822,65.4213
11/1/2024,EUR,62.64360513,63.7744
12/1/2024,EUR,62.66932104,63.4355
1/1/2025,EUR,62.34569097,63.3923
2/1/2025,EUR,64.17310775,64.5252
3/1/2025,EUR,66.3067921,67.79
4/1/2025,EUR,66.94940118,67.7198
5/1/2025,EUR,65.11483254,66.2119
6/1/2025,EUR,66.64549273,67.9777
7/1/2025,EUR,70.28914215,70.2902
8/1/2025,EUR,71.21629654,71.7698
9/1/2025,EUR,72.18826068,73.225
10/1/2025,EUR,73.33162662,73.5524
11/1/2025,EUR,72.54876487,73.2699
12/1/2025,EUR,71.96282043,73.88438636
1/1/2026,EUR,72.92255086,74.0655
2/1/2026,EUR,72.11966666,72.8605
3/1/2026,EUR,67.67687919,69.2277
4/1/2026,EUR,68.27823736,69.8421
5/1/2026,EUR,66.91879541,68.6232
1/1/2004,USD,46.085,46.6411
2/1/2004,USD,49.2326,50.4426
3/1/2004,USD,46.52,47.1813
4/1/2004,USD,44.3486,44.8114
5/1/2004,USD,46.9215,47.692
6/1/2004,USD,48.1224,48.671
7/1/2004,USD,44.8395,45.5559
8/1/2004,USD,41.2481,42.1052
9/1/2004,USD,36.9505,37.6214
10/1/2004,USD,32.2705,32.9781
11/1/2004,USD,29.5609,30.1345
12/1/2004,USD,28.8565,29.3291
1/1/2005,USD,29.8356,30.3961
2/1/2005,USD,28.8475,29.219
3/1/2005,USD,28.2981,28.5952
4/1/2005,USD,28.2471,28.5448
5/1/2005,USD,28.699,28.908
6/1/2005,USD,28.8986,29.0836
7/1/2005,USD,28.927,29.0618
8/1/2005,USD,29.001,29.1316
9/1/2005,USD,30.4228,30.8152
10/1/2005,USD,32.4065,32.7017
11/1/2005,USD,33.2516,33.5424
12/1/2005,USD,33.1227,33.3942
1/1/2006,USD,34.5649,34.8397
2/1/2006,USD,34.1737,34.4423
3/1/2006,USD,32.5611,32.8459
4/1/2006,USD,32.1063,32.3282
5/1/2006,USD,32.4925,32.7295
6/1/2006,USD,32.7652,32.9402
7/1/2006,USD,32.7544,32.9079
8/1/2006,USD,32.6344,32.8049
9/1/2006,USD,32.9495,33.1157
10/1/2006,USD,33.4737,33.6551
11/1/2006,USD,33.559,33.6941
12/1/2006,USD,33.0856,33.297
1/1/2007,USD,33.7012,33.8987
2/1/2007,USD,33.3618,33.5057
3/1/2007,USD,32.7913,32.9604
4/1/2007,USD,32.2281,32.4046
5/1/2007,USD,32.1398,32.2943
6/1/2007,USD,32.4154,32.5666
7/1/2007,USD,32.9927,33.1447
8/1/2007,USD,32.9035,33.0525
9/1/2007,USD,33.3062,33.4553
10/1/2007,USD,33.4551,33.5899
11/1/2007,USD,33.4079,33.5309
12/1/2007,USD,33.5189,33.6587
1/1/2008,USD,33.757,33.8941
2/1/2008,USD,33.8344,33.9561
3/1/2008,USD,33.9169,34.04
4/1/2008,USD,34.0258,34.1362
5/1/2008,USD,34.0114,34.1313
6/1/2008,USD,34.1572,34.2682
7/1/2008,USD,34.2736,34.3855
8/1/2008,USD,34.6753,34.7966
9/1/2008,USD,34.8317,34.95
10/1/2008,USD,34.99,35.0877
11/1/2008,USD,35.1941,35.3169
12/1/2008,USD,35.2569,35.3896
1/1/2009,USD,35.3693,35.4871
2/1/2009,USD,35.558,35.6545
3/1/2009,USD,35.6669,35.7669
4/1/2009,USD,35.8256,35.9242
5/1/2009,USD,35.9483,36.0393
6/1/2009,USD,35.9232,36.0041
7/1/2009,USD,35.9799,36.067
8/1/2009,USD,36.0269,36.1012
9/1/2009,USD,36.0559,36.1309
10/1/2009,USD,36.0949,36.1601
11/1/2009,USD,36.0931,36.1673
12/1/2009,USD,36.0895,36.1596
1/1/2010,USD,36.11,36.1865
2/1/2010,USD,36.192,36.2747
